osmid,lat,lon
51481999,46.7347959,-117.1795934
51482077,46.7337438,-117.2056386
51482286,46.6818902,-117.0716669
51482325,46.7337550,-117.1988524
51482326,46.7339994,-117.1988689
51482328,46.7350013,-117.1987395
51482331,46.7349637,-117.1977866
51482349,46.7393570,-117.1957488
51482351,46.7382360,-117.1928713
51482353,46.7380702,-117.1924507
51482355,46.7380152,-117.1923818
51482485,46.7420647,-117.1524269
51482487,46.7421058,-117.1519015
51483904,46.8385332,-117.3385730
51484102,46.7409854,-117.1788348
51484103,46.7410879,-117.1784394
51484183,46.7189610,-117.1837224
51484184,46.7187762,-117.1842512
51484186,46.7180173,-117.1846603
51484188,46.7177333,-117.1847990
51484190,46.7174905,-117.1851242
51484194,46.7170125,-117.1855509
51484196,46.7168038,-117.1858569
51484198,46.7166979,-117.1861044
51484200,46.7172683,-117.1876378
51484202,46.7184210,-117.1877574
51484203,46.7186373,-117.1876458
51484204,46.7192815,-117.1868999
51484882,46.7217765,-117.1327774
51484887,46.7212537,-117.1324680
51484889,46.7211533,-117.1324011
51484919,46.7212859,-117.1364662
51484921,46.7209350,-117.1366962
51484922,46.7206429,-117.1368342
51484924,46.7206050,-117.1368943
51484925,46.7206458,-117.1377529
51484928,46.7202926,-117.1377448
51484930,46.7197520,-117.1357680
51484931,46.7197128,-117.1353384
51484933,46.7197295,-117.1351691
51484935,46.7199002,-117.1343320
51484937,46.7203233,-117.1335643
51484947,46.7233921,-117.1441620
51484949,46.7215296,-117.1411781
51484953,46.7213466,-117.1441790
51484955,46.7299004,-117.1841738
51484958,46.7291503,-117.1848739
51484960,46.7284639,-117.1855120
51485023,46.7281980,-117.1849493
51485092,46.7326192,-117.2093415
51485093,46.7326041,-117.2096885
51485155,46.7328708,-117.2093408
51485158,46.7324116,-117.2092981
51485166,46.7322171,-117.2096334
51485860,46.7100738,-117.1774065
51485863,46.7101065,-117.1733446
51485865,46.7100969,-117.1729391
51485867,46.7100540,-117.1721870
51485869,46.7101680,-117.1720880
51486005,46.7223029,-117.1685391
51486006,46.7221818,-117.1680920
51486014,46.7193143,-117.1659554
51486050,46.7193876,-117.1653313
51486051,46.7193090,-117.1663849
51486270,46.6907699,-117.1480104
51486562,46.7227965,-117.1851821
51486563,46.7227206,-117.1856714
51486564,46.7226603,-117.1857784
51486565,46.7225536,-117.1858551
51486579,46.7440776,-117.1576255
51486661,46.7603455,-117.2229978
51486865,46.7555747,-117.1648841
51486929,46.7332327,-117.1938205
51486930,46.7331796,-117.1928837
51486938,46.7281457,-117.1400978
51487138,46.7337544,-117.2010704
51487168,46.7523237,-117.2100201
51487170,46.7525846,-117.2106126
51487172,46.7528100,-117.2112660
51487174,46.7529200,-117.2115318
51487175,46.7530100,-117.2117460
51487177,46.7530384,-117.2119016
51487179,46.7530303,-117.2121010
51487183,46.7529254,-117.2124392
51487185,46.7529344,-117.2125619
51487187,46.7529686,-117.2126873
51487188,46.7531335,-117.2130458
51487189,46.7531938,-117.2132498
51487190,46.7532221,-117.2137468
51487191,46.7532011,-117.2140698
51487193,46.7531319,-117.2142997
51487194,46.7530557,-117.2143378
51487195,46.7529557,-117.2143236
51487196,46.7528337,-117.2141938
51487198,46.7527125,-117.2141132
51487199,46.7524349,-117.2140280
51487200,46.7522930,-117.2139353
51487203,46.7520559,-117.2138475
51487261,46.7852539,-117.1486776
51487301,46.7905173,-117.1473559
51487315,46.7349871,-117.1844113
51487319,46.7350724,-117.1866660
51487322,46.7346325,-117.1866780
51487323,46.7343850,-117.1866685
51487324,46.7342806,-117.1866098
51487325,46.7341620,-117.1853750
51487453,46.7420864,-117.1576634
51487481,46.7406301,-117.1613047
51487482,46.7409000,-117.1613153
51487483,46.7412413,-117.1615277
51487513,46.7408544,-117.1626072
51487514,46.7409878,-117.1603564
51487737,46.7270324,-117.1673703
51487739,46.7269557,-117.1672291
51487741,46.7268501,-117.1671139
51487743,46.7266112,-117.1669703
51487850,46.7425081,-117.1710362
51487853,46.7425082,-117.1709118
51487854,46.7430072,-117.1701796
51487857,46.7429683,-117.1700186
51487859,46.7428913,-117.1699487
51487991,46.7198001,-117.1963967
51487992,46.7197067,-117.1970423
51487996,46.7194941,-117.1986848
51488220,46.7724587,-117.2077213
51488243,46.7308193,-117.1632799
51488415,46.7247475,-117.1693482
51488417,46.7255078,-117.1707324
51488503,46.7219175,-117.1506766
51488510,46.7214840,-117.1506200
51488513,46.7212081,-117.1505990
51488518,46.7208931,-117.1317665
51488520,46.7209741,-117.1329383
51488523,46.7207990,-117.1332264
51488528,46.7197926,-117.1339927
51488530,46.7194230,-117.1347467
51488531,46.7193835,-117.1348759
51488551,46.7212210,-117.1321520
51488554,46.7213251,-117.1317737
51488555,46.7212458,-117.1316053
51488558,46.7209671,-117.1315648
51488561,46.7208334,-117.1316385
51488564,46.7208058,-117.1315205
51488566,46.7208150,-117.1314073
51488569,46.7208464,-117.1312303
51488618,46.7259165,-117.1712304
51488621,46.7256338,-117.1709321
51488623,46.7258202,-117.1705596
51488624,46.7252470,-117.1697579
51488625,46.7248694,-117.1691118
51488877,46.7208932,-117.1845501
51489082,46.7321191,-117.2065517
51489083,46.7321212,-117.2068711
51489086,46.7328798,-117.1346781
51489096,46.7354967,-117.1326180
51489097,46.7352368,-117.1321367
